Object ID	x-center	y-center
1141	210.75	354.50
1142	445.85	355.21
1143	543.00	356.00
1144	579.53	356.87
1145	744.92	356.67
1146	336.75	357.00
1147	619.67	357.33
1148	658.56	357.98
1149	710.17	355.33
1150	171.81	358.19
1151	312.95	358.60
1152	490.75	357.50
1153	554.64	358.50
1154	561.00	358.50
1155	773.67	358.33
1156	330.24	359.34
1157	770.40	359.05
1158	85.22	360.25
1159	198.28	361.46
1160	451.10	360.60
1161	535.75	360.25
1162	560.50	359.75
1163	582.66	360.64
1164	689.75	359.50
1165	715.42	359.67
1166	551.41	364.96
1167	313.50	362.25
1168	590.25	362.64
1169	303.91	364.27
1170	627.79	367.24
1171	680.83	362.67
1172	142.75	364.50
1173	403.58	365.83
1174	460.67	364.67
1175	282.96	366.89
1176	288.40	366.27
1177	314.00	364.00
1178	450.17	366.73
1179	567.92	366.33
1180	610.19	366.67
1181	668.83	365.67
1182	124.90	367.62
1183	560.80	367.90
1184	584.10	372.27
1185	648.22	368.14
1186	660.08	367.50
1187	524.67	367.67
1188	592.94	369.08
1189	681.50	367.50
1190	76.81	369.44
1191	296.75	368.50
1192	381.05	369.40
1193	456.08	371.36
1194	699.19	369.81
1195	91.39	375.86
1196	178.77	370.13
1197	531.89	370.50
1198	692.19	371.00
1199	230.67	371.33
1200	250.25	371.00
1201	368.50	371.89
1202	414.27	371.73
1203	613.17	371.50
1204	387.73	372.60
1205	404.60	372.62
1206	564.08	372.56
1207	436.50	372.50
1208	659.01	378.06
1209	176.75	373.50
1210	751.25	374.00
1211	101.75	374.75
1212	159.50	375.50
1213	192.82	375.11
1214	197.74	375.19
1215	475.91	376.79
1216	531.10	376.35
1217	647.29	376.12
1218	740.06	376.01
1219	125.50	376.25
1220	171.96	377.36
1221	345.67	376.81
1222	731.95	376.85
1223	113.50	376.75
1224	578.39	376.75
1225	155.67	378.33
1226	227.73	378.27
1227	240.75	377.50
1228	459.75	377.50
1229	526.80	378.70
1230	587.25	378.25
1231	76.25	378.75
1232	652.40	379.60
1233	374.75	379.50
1234	397.27	380.73
1235	455.25	380.00
1236	496.82	382.46
1237	287.50	381.89
1238	346.25	380.50
1239	584.84	381.73
1240	715.75	382.25
1241	69.33	383.08
1242	135.75	383.00
1243	369.50	383.38
1244	522.83	382.67
1245	769.68	383.65
1246	509.04	384.76
1247	643.19	384.81
1248	709.12	385.61
1249	153.26	386.63
1250	521.75	384.50
1251	633.56	385.19
1252	135.50	384.25
1253	214.50	385.75
1254	797.75	386.50
1255	100.65	388.13
1256	239.75	387.17
1257	254.75	387.89
1258	284.45	388.93
1259	290.07	387.82
1260	132.73	388.27
1261	364.19	388.56
1262	329.19	389.19
1263	420.67	389.33
1264	548.49	393.96
1265	644.16	389.38
1266	666.67	389.33
1267	269.80	391.35
1268	312.50	390.25
1269	374.33	390.33
1270	399.46	390.67
1271	775.17	390.42
1272	184.50	391.38
1273	307.00	390.75
1274	384.08	391.25
1275	442.30	393.79
1276	739.75	391.25
1277	73.35	393.10
1278	370.50	392.25
1279	580.75	391.50
1280	52.56	393.29
1281	531.42	393.96
1282	687.94	393.56
1283	128.13	394.77
1284	343.67	394.33
1285	712.36	394.34
1286	124.75	394.50
1287	322.25	395.00
1288	498.67	395.44
1289	572.40	395.60
1290	612.25	396.00
1291	639.75	395.25
1292	773.12	395.38
1293	779.40	395.52
1294	273.75	395.75
1295	288.12	396.06
1296	350.00	396.50
1297	371.25	397.00
1298	399.74	396.61
1299	584.75	396.25
1300	658.68	399.17
1301	116.75	396.50
1302	118.25	396.50
1303	395.25	397.11
1304	78.75	397.50
1305	133.05	399.85
1306	232.75	398.50
1307	434.89	399.50
1308	436.75	399.25
1309	723.58	399.89
1310	737.55	400.71
1311	239.50	400.23
1312	369.75	399.75
1313	639.65	403.05
1314	498.83	400.67
1315	646.67	401.33
1316	788.75	400.75
1317	194.75	401.50
1318	338.75	402.00
1319	532.68	402.98
1320	578.87	403.25
1321	615.60	401.70
1322	747.75	402.00
1323	310.60	403.30
1324	471.75	402.50
1325	554.17	403.42
1326	150.19	404.81
1327	211.19	404.67
1328	268.81	404.67
1329	278.50	403.75
1330	356.50	405.05
1331	448.50	404.50
1332	457.64	404.04
1333	599.75	404.47
1334	674.64	404.75
1335	719.75	404.00
1336	129.25	405.11
1337	178.70	405.60
1338	434.75	404.50
1339	529.00	405.25
1340	70.75	405.50
1341	305.67	406.33
1342	60.25	407.00
1343	175.85	407.30
1344	524.51	410.13
1345	735.67	407.33
1346	82.75	409.00
1347	227.23	407.87
1348	646.82	413.72
1349	442.25	409.11
1350	455.25	409.25
1351	483.93	409.98
1352	665.64	409.25
1353	94.89	410.75
1354	188.50	410.50
1355	493.00	410.25
1356	752.58	410.56
