ID	x	y	ap_radius	mag_F336W	mag_F555W	color
45	179.60	74.41	5.0	17.308	17.803	-0.495
46	239.60	71.30	5.0	19.360	21.211	-1.851
47	314.33	71.85	5.0	18.673	19.618	-0.945
48	789.93	72.26	5.0	18.339	19.433	-1.094
49	166.87	73.14	5.0	19.195	19.158	0.037
50	752.84	74.85	5.0	17.046	17.312	-0.266
51	796.58	75.76	5.0	17.788	17.905	-0.117
52	383.30	74.89	5.0	19.873	19.857	0.016
53	391.43	76.26	5.0	19.153	19.914	-0.761
54	610.14	75.14	5.0	19.882	20.191	-0.309
55	119.67	76.91	5.0	18.632	19.000	-0.368
56	189.86	78.02	5.0	17.883	18.409	-0.526
57	786.15	78.15	5.0	17.303	17.823	-0.520
58	314.82	78.11	5.0	19.739	19.384	0.355
59	292.47	78.66	5.0	19.104	20.330	-1.226
60	303.92	78.08	5.0	19.673	21.532	-1.859
61	375.80	79.42	5.0	18.615	18.777	-0.162
62	606.01	78.86	5.0	18.624	19.280	-0.656
63	683.39	81.16	5.0	17.535	18.190	-0.655
64	83.24	79.88	5.0	18.212	19.019	-0.806
65	269.47	80.87	5.0	18.220	19.079	-0.859
66	283.08	81.79	5.0	18.130	19.077	-0.946
67	368.45	81.02	5.0	18.858	19.215	-0.357
68	660.39	80.03	5.0	19.973	19.786	0.188
