ID	x	y
1322	525.16	474.58
1323	767.35	475.15
1324	464.50	474.50
1325	586.30	475.33
1326	651.60	475.08
1327	666.10	476.48
1328	707.21	474.14
1329	776.77	475.08
1330	153.69	476.75
1331	399.88	476.57
1332	565.07	480.06
1333	796.57	477.32
1334	232.92	477.08
1335	412.76	478.01
1336	461.20	478.77
1337	782.72	477.47
1338	250.86	479.78
1339	707.07	478.08
1340	298.85	478.95
1341	714.99	481.03
1342	742.00	479.00
1343	380.12	480.47
1344	172.26	484.44
1345	234.26	480.98
1346	632.82	485.40
1347	747.09	482.05
1348	284.29	484.09
1349	434.49	482.81
1350	155.56	483.34
1351	325.41	484.89
1352	362.85	483.52
1353	393.29	484.28
1354	484.52	482.80
1355	797.09	486.43
1356	478.50	485.62
1357	498.57	484.98
1358	101.51	487.51
1359	573.14	487.05
